nom_loc_ori;idCalle;calle_ori;idBarrio;barrio_ori;manzana_ori;nom_prov;Calle_origen;Localidad_ori
Morteros;;Rivadavia;;;;Códoba;Rivadavia;Morteros
San Francisco;;Rivadavia;;;;Códoba;Rivadavia;San Francisco
San Nicolas De Los Arroyos;;Rivadavia;;;;Buenos Aires;Rivadavia;San Nicolas De Los Arroyos
San Francisco;;Rivadavia 1277;;;;Códoba;Rivadavia 1277;San Francisco
Marcos Juarez;;Rivadavia Este;;;;Códoba;Rivadavia Este;Marcos Juarez
Parana;;Rondeau;;;;Entre Ríos;Rondeau;Parana
Alejo Ledesma;;Roque Saenz Peña;;;;Códoba;Roque Saenz Pena;Alejo Ledesma
Chascomus;;Rosa Gorotizu;;;;Buenos Aires;Rosa Gorotizu;Chascomus
Parana;;Rosario Del Tala;;;;Entre Ríos;Rosario Del Tala;Parana
San Francisco;;Salta;;;;Códoba;Salta;San Francisco
San Benito;;San Juan Y Mitre;;;;Entre Ríos;San Juan Y Mitre;San Benito
Diamante;;San Lorenzo;;;;Entre Ríos;San Lorenzo;Diamante
Morteros;;San Lorenzo;;;;Códoba;San Lorenzo;Morteros
San Nicolas De Los Arroyos;;San Lorenzo;;;;Buenos Aires;San Lorenzo;San Nicolas De Los Arroyos
Colonia Marina;;San Martin;;;;Códoba;San Martin;Colonia Marina
Cruz Alta;;San Martin;;;;Códoba;San Martin;Cruz Alta
Federal;;San Martin;;;;Entre Ríos;San Martin;Federal
General Roca;;San Martin;;;;Códoba;San Martin;General Roca
General Roca;;San Pablo;;;;Códoba;San Pablo;General Roca
Parana;;Santa Cruz;;;;Entre Ríos;Santa Cruz;Parana
Freyre;;Santa Fe;;;;Códoba;Santa Fe;Freyre
Cruz Alta;;Santiago Toullieux;;;;Códoba;Santiago Toullieux;Cruz Alta
Arias;;Sarmiento;;;;Códoba;Sarmiento;Arias
Ramallo;;Sarmiento;;;;Buenos Aires;Sarmiento;Ramallo
Resistencia;;Sarmiento;;;;Chaco;Sarmiento;Resistencia
San Francisco;;Talcahuano;;;;Códoba;Talcahuano;San Francisco
San Nicolas De Los Arroyos;;Tte.Coronel P.Petrecca;;;;Buenos Aires;Tte.Coronel P.Petrecca;San Nicolas De Los Arroyos
San Juan;;Tucuman;;;;San Juan;Tucuman;San Juan
Corral De Bustos;;Uruguay Este;;;;Códoba;Uruguay Este;Corral De Bustos
Martinez;;Vicente Fidel Lopez;;;;Buenos Aires;Vicente Fidel Lopez;Martinez
Parana;;Villlaguay;;;;Entre Ríos;Villlaguay;Parana
Parana;;Zenteno;;;;Entre Ríos;Zenteno;Parana
Colonia Italiana;;Zona Rural;;;;Códoba;Zona Rural;Colonia Italiana
